epoch,step,time/epoch (s),time/inter_step (ms),time/intra_step (ms),train/loss,train/max_reward,train/reward,val/max_reward,val/reward
,340,187.03743028640747,,,,,,,
,349,,,5053.852319717407,,,,,
,349,,13.319730758666992,,,,,,
17,349,,,,0.6913875937461853,-52.55999755859375,-56.76166915893555,,
17,359,,,,,,,-52.63999938964844,-55.98612594604492
,360,188.1851725578308,,,,,,,
18,379,,,,,,,-52.731998443603516,-56.08991622924805
,380,188.3910562992096,,,,,,,
,399,,,5060.434341430664,,,,,
,399,,25.187969207763672,,,,,,
19,399,,,,0.6909015774726868,-52.41999816894531,-56.42583465576172,,
19,399,,,,,,,-52.637001037597656,-55.94845962524414
,400,183.19256973266602,,,,,,,
20,419,,,,,,,-52.48500061035156,-55.818912506103516
,420,184.7878861427307,,,,,,,
21,439,,,,,,,-52.49700164794922,-55.78403854370117
,440,243.99293398857117,,,,,,,
,449,,,6764.032602310181,,,,,
,449,,13.419389724731445,,,,,,
22,449,,,,0.6913701295852661,-52.439998626708984,-56.41250228881836,,
22,459,,,,,,,-52.50199890136719,-55.857505798339844
,460,253.3195652961731,,,,,,,
23,479,,,,,,,-52.5890007019043,-55.86178970336914
,480,230.04950785636902,,,,,,,
,499,,,4985.518932342529,,,,,
,499,,26.39603614807129,,,,,,
24,499,,,,0.6920146942138672,-52.55999755859375,-56.59250259399414,,
24,499,,,,,,,-52.4119987487793,-55.71575164794922
,500,189.57676434516907,,,,,,,
25,519,,,,,,,-52.39400100708008,-55.85400390625
,520,190.96842527389526,,,,,,,
26,539,,,,,,,-52.486000061035156,-55.802791595458984
,540,188.497807264328,,,,,,,
,549,,,5323.539733886719,,,,,
,549,,14.05477523803711,,,,,,
27,549,,,,0.6915640234947205,-52.2599983215332,-56.23666763305664,,
27,559,,,,,,,-52.3849983215332,-55.61225891113281
,560,188.2321228981018,,,,,,,
28,579,,,,,,,-52.34700012207031,-55.667625427246094
,580,189.2543683052063,,,,,,,
,599,,,5075.051784515381,,,,,
,599,,26.107311248779297,,,,,,
29,599,,,,0.6911512017250061,-52.55999755859375,-56.60750198364258,,
29,599,,,,,,,-52.31999969482422,-55.645790100097656
,600,184.72985768318176,,,,,,,
30,619,,,,,,,-52.42499923706055,-55.738834381103516
,620,186.01671361923218,,,,,,,
31,639,,,,,,,-52.34199905395508,-55.62287521362305
,640,188.86020016670227,,,,,,,
,649,,,5111.260175704956,,,,,
,649,,14.473676681518555,,,,,,
32,649,,,,0.6911540627479553,-52.279998779296875,-56.233333587646484,,
32,659,,,,,,,-52.14699935913086,-55.541080474853516
,660,186.08815264701843,,,,,,,
33,679,,,,,,,-52.27299880981445,-55.61517333984375
,680,184.74074792861938,,,,,,,
,699,,,5078.666210174561,,,,,
,699,,26.819467544555664,,,,,,
34,699,,,,0.6919580698013306,-52.37999725341797,-56.455833435058594,,
34,699,,,,,,,-52.178001403808594,-55.4907112121582
,700,186.35824418067932,,,,,,,
35,719,,,,,,,-52.35599899291992,-55.64504623413086
,720,189.41131043434143,,,,,,,
36,739,,,,,,,-52.19499969482422,-55.52653884887695
,740,186.16566133499146,,,,,,,
,749,,,5388.0109786987305,,,,,
,749,,13.072013854980469,,,,,,
37,749,,,,0.6929072737693787,-52.55999755859375,-56.690834045410156,,
37,759,,,,,,,-52.05500030517578,-55.413997650146484
,760,186.7045340538025,,,,,,,
38,779,,,,,,,-52.16400146484375,-55.469749450683594
,780,185.34278798103333,,,,,,,
,799,,,4888.9923095703125,,,,,
,799,,27.130603790283203,,,,,,
39,799,,,,0.6914778351783752,-52.63999938964844,-56.6058349609375,,
39,799,,,,,,,-52.361000061035156,-55.69337463378906
,800,186.2296006679535,,,,,,,
40,819,,,,,,,-52.19300079345703,-55.528411865234375
,820,187.26698517799377,,,,,,,
41,839,,,,,,,-52.3380012512207,-55.58991622924805
