source,key,score,rank_index,loss,gradient_norm,parameter_step_norm,response_norm,elapsed_seconds,error
matched,g_ref::f004_009_8bc47121,-0.02145215148925761,0,0.6478821635246277,3.499183823992131,0.607051890106791,413.594358178151,4.8107543000005535,
matched,g_ref::f009_009_11a243e4,-0.013208696746825677,3,0.3627724854250746,1.0967717068527827,0.6103024098774351,418.31765490688946,5.849019200002658,
matched,g_ref::f001_006_7a9533f8,-0.010966670608520523,5,0.6490074396133423,3.3381564434484896,0.6090522253935997,419.5477767676036,4.177964300004533,
matched,g_ref::f009_012_fe608485,-0.007863076782226308,8,0.660466503181677,1.7258205230908261,0.6030963742463131,393.82891003357054,5.847203400000581,
matched,g_ref::f008_013_f9624f1c,-0.0066167686462397235,10,0.47234126199240445,1.712884077984798,0.6068202445181982,396.73655645322344,4.511054300004616,
matched,g_ref::f007_001_f0cb97b6,-0.006049733734130314,13,0.6590381947009797,2.160784778972614,0.602737112914929,427.71037808875917,5.710918400000082,
matched,g_ref::f008_015_7ce47577,-0.0047830284118650646,16,0.66961813409554,2.5348326861149952,0.5980557334115214,382.24861679084836,5.333308900000702,
matched,g_ref::f004_005_d9e9b2d8,-0.0030386592864988238,18,6644.332074561507,14740.551340878948,0.6204524211866876,391.0958467864886,5.315094500001578,
matched,g_ref::f009_001_7ef2567f,-0.001981002807616594,21,0.6771413208078142,1.4455513241961937,0.6157506357166044,393.2087291614277,4.315964699999313,
matched,g_ref::f007_002_3d53a833,-0.0011698871612542128,23,0.6753663070949908,2.065360864306758,0.6041818431609854,431.8235735119908,5.715638000001491,
matched,g_ref::f009_011_064cf83f,0.005766624450683988,26,0.46957421207602784,0.37729219205832976,0.6079872127080027,412.4406661210925,5.883454900002107,
matched,g_ref::f004_010_768ce53b,0.016811165237427428,29,6851.11865234375,369.2274991091817,0.6121731635823141,386.72772174797706,5.48188480000681,
matched,g_ref::f007_007_10a7f956,0.03040526695251522,31,0.6566209437852839,2.8607851641759523,0.6097651446427768,415.1866221051417,5.49434000000474,
matched,g_ref::f008_014_20037da3,0.22672706680297905,34,3064.881353252847,63335.94782826958,0.626751972034595,368.0175561010791,5.297446600001422,
matched,g_ref::f002_014_ec78f8e4,0.4690059169769287,36,1.2002419897380505,43.45514390158237,0.6194826363527456,339.30346475530814,4.5902445999963675,
matched,g_ref::f004_012_52eed4b6,1.1220219722747804,39,1.4419738054275513,39.345430578667845,0.62988853009312,391.98903508128285,5.179301599993778,
external,g_ref::f005_006_8b004cd2,-0.042149878692626874,0,0.6363320350646973,2.166702351326402,0.6043596146262298,408.8211688545309,7.135194599999522,
external,g_ref::f005_014_7eb4ebc1,-0.033328799438476775,4,6564.93701171875,18459.149052720088,0.6064279055851143,433.4631647272411,4.155643400001281,
external,g_ref::f009_005_80849452,-0.031768030929565594,9,-0.08866596221923828,4.0148811506162145,0.6038917087083749,372.31350286822146,6.093711299996357,
external,g_ref::f002_005_87e4506f,-0.026153978347778217,13,0.6652736067771912,2.0556342317892486,0.599235412755316,430.0441378752039,3.7738610000014887,
external,g_ref::f005_005_1a0ce1dc,-0.01444534988403312,17,0.6679149866104126,1.859825612276484,0.6110392948172872,390.3253683234706,2.835927399995853,
external,g_ref::f005_011_59253fc2,-0.005547791290283044,21,0.6679149866104126,1.859825612276484,0.6110392948172872,390.3253683234706,3.502740399999311,
external,g_ref::f004_014_1962a7f8,-0.0025282855987547315,26,6609.505859375,18379.841247532844,0.6173245041101716,390.28237040403695,2.999904800002696,
external,g_ref::f006_007_6ab77f91,-0.00046483917236361805,30,0.6679149866104126,1.859825612276484,0.6110392948172872,390.3253683234706,2.9546530000006896,
external,g_ref::f008_012_84415412,0.0013766220092770176,34,0.6679147481918335,1.8596682776830185,0.6110342856466303,390.3250820845871,3.0374388999989606,
external,g_ref::f001_003_832279b4,0.005083121490478515,38,0.6679149866104126,1.859825612276484,0.6110392948172872,390.3253683234706,4.64435930000036,
external,g_ref::f007_012_ae7d31e8,0.021124951553344484,43,-0.5283565521240234,1.0279181311157493,0.6070685380589812,383.5892617202565,5.623100500000874,
external,g_ref::f005_001_4d742f10,0.03407954330444296,47,6007.29345703125,25946.20453266375,0.6037453142635684,473.60957311239184,4.70131190000393,
external,g_ref::f000_008_908e311d,0.041994724655151305,51,0.9399431347846985,4.093598708653968,0.6081106530914936,395.0395739616452,3.092427800002042,
external,g_ref::f007_006_6bf72c72,0.05064679107666015,55,0.6919366121292114,0.10508901506115403,0.5917107901949724,385.8487439545625,6.406956800004991,
external,g_ref::f002_009_bf8ce1cc,0.2951874870300295,60,-1.0645707845687866,65.90331680624446,0.6123172157984021,361.8455754541822,4.485972900001798,
external,g_ref::f008_014_36722685,3.1618976264953615,64,-0.1287832260131836,1.6868181783122937,0.625771876353712,351.8815301778488,3.5226738000055775,
